日付け,終値,始値,高値,安値,出来高,前日比%
2022年1月5日,5048182 ,5329012 ,5449500 ,4944443 ,3.32K,(0)
2022年1月4日,5328098 ,5362273 ,5516632 ,5298668 ,2.07K,(0)
2022年1月3日,5358524 ,5448625 ,5477676 ,5276666 ,1.75K,(0)
2022年1月2日,5449625 ,5495000 ,5517582 ,5377728 ,1.24K,(0)
2022年1月1日,5495000 ,5325242 ,5515000 ,5323749 ,1.36K,0 
2021年12月31日,5325242 ,5423487 ,5589859 ,5254877 ,2.90K,(0)
2021年12月30日,5425747 ,5343060 ,5522222 ,5280786 ,2.10K,0 
2021年12月29日,5343060 ,5456831 ,5533212 ,5304895 ,2.37K,(0)
2021年12月28日,5456831 ,5820883 ,5821650 ,5435000 ,2.88K,(0)
2021年12月27日,5820883 ,5808996 ,5980691 ,5771493 ,2.05K,0 
2021年12月26日,5805338 ,5768595 ,5857996 ,5660381 ,1.71K,0 
2021年12月25日,5768595 ,5817441 ,5850322 ,5750000 ,1.29K,(0)
2021年12月24日,5817441 ,5813000 ,5924549 ,5772813 ,2.13K,0 
